Date,BME.L,ABDN.L,UTG.L,SMDS.L,LMP.L,INF.L,IMB.L,HWDN.L,GAW.L,3IN.L,AHT.L,ALW.L,AAF.L,ADM.L,AAL.L,ANTO.L,AUTO.L,AV.L,AZN.L,BA.L,BARC.L,BTRW.L,BATS.L,BP.L,BKG.L,BLND.L,BT-A.L,BNZL.L,BRBY.L,CNA.L,CCH.L,CPG.L,CRH.L,CRDA.L,DGE.L,DCC.L,DPLM.L,EXPN.L,GLEN.L,GSK.L,HLMA.L,HL.L,HSX.L,CTEC.L,HSBA.L,IMB.L,IHG.L,IAG.L,ITRK.L,SBRY.L,KGF.L,LAND.L,LGEN.L,LLOY.L,LSEG.L,MNG.L,MRO.L,MNDI.L,NG.L,NXT.L,PSN.L,PHNX.L,PRU.L,RKT.L,REL.L,RTO.L,RIO.L,RR.L,SGE.L,SDR.L,SMT.L,SGRO.L,SN.L,SMIN.L,SPX.L,SSE.L,STJ.L,STAN.L,TW.L,TSCO.L,ULVR.L,UU.L,WTB.L,WPP.L,FERG.L,HIK.L,SCT.L,SHEL.L,HLN.L,FRES.L,MKS.L,RMV.L,ICG.L,FCIT.L,EZJ.L,ENT.L,EDV.L,BEZ.L,SVT.L,BHP.L,ABF.L,NWG.L,III.L,VOD.L,IMI.L,PSH.L
2020-02-24,357.4,307.4,1296.0,348.6,229.2,755.0,1701.4,709.4,6850.0,303.0,2608.0,833.0,71.65,2262.0,1933.85,816.2,548.6,512.5,7446.0,659.6,170.02,837.0,3236.5,438.25,5465.85,551.2,151.26,2001.0,1795.0,76.78,2729.0,1890.5,2813.0,4920.0,3012.0,5982.0,2048.0,2776.0,211.55,1641.79,2145.0,1675.5,1298.0,211.6,550.8,1701.4,4741.0,566.0,5670.0,206.9,207.9,945.2,300.8,53.11,8300.0,231.4,527.42,1799.6,1044.6,6764.0,3184.0,767.0,1377.89,6247.0,2004.0,502.0,3965.5,215.65,757.8,543.32,609.5,896.6,1890.0,1668.0,9080.0,1655.5,1123.0,606.6,224.3,315.78,4483.0,1032.0,3823.96,924.4,7340.0,1842.5,1155.0,1821.8,,735.0,179.05,667.8,1804.0,755.0,1257.0,834.6,2795.0,562.5,2656.0,1569.8,2543.0,212.96,1130.5,150.68,1037.5,1504.0
2020-02-25,342.6,299.6,1271.0,339.4,225.4,744.0,1696.0,697.2,6645.0,302.0,2570.0,808.0,70.0,2240.0,1930.06,797.2,539.8,502.37,7299.0,639.8,165.86,806.0,3195.5,428.7,5331.12,535.8,148.42,2050.0,1754.0,76.0,2646.0,1870.5,2758.0,4762.0,2960.0,5782.0,1991.0,2750.0,208.45,1613.99,2098.0,1653.5,1263.0,207.4,539.7,1696.0,4588.0,552.8,5566.0,202.0,199.0,920.0,287.0,52.01,8072.0,227.8,517.86,1772.1,1034.6,6582.0,3087.0,748.1,1378.38,6053.0,1981.0,492.9,3915.5,209.13,738.2,530.74,599.0,889.8,1847.5,1639.0,8900.0,1600.0,1092.0,584.4,219.0,307.8,4392.5,1000.0,3742.34,911.6,7210.0,1835.5,1134.0,1780.8,,727.4,176.05,653.0,1757.0,734.0,1213.0,833.0,2795.0,553.5,2578.0,1544.4,2430.0,210.11,1112.0,147.04,1000.0,1474.0
2020-02-26,333.6,301.4,1269.0,346.6,221.2,723.0,1690.0,677.6,6690.0,302.0,2585.0,811.0,69.0,2239.0,1935.44,810.0,540.4,499.87,7410.0,641.0,165.94,786.2,3219.5,428.4,5223.34,531.6,146.52,2008.0,1751.5,76.7,2657.0,1835.5,2788.0,4782.0,2933.5,5724.0,1966.0,2765.0,208.35,1644.61,2108.0,1643.5,1300.0,208.4,555.0,1690.0,4538.0,559.6,5580.0,203.5,196.4,907.8,288.7,51.91,8076.0,223.6,526.95,1782.0,1048.2,6510.0,3078.0,746.2,1379.83,6099.0,1994.0,495.6,3912.5,211.6,739.0,527.17,609.0,882.0,1839.5,1657.0,9045.0,1612.0,1083.5,591.6,212.4,305.77,4386.5,1001.0,3629.79,908.4,7252.0,1825.5,1120.0,1781.4,,708.4,171.95,654.2,1769.0,736.0,1202.5,848.2,2696.96,554.0,2589.0,1558.2,2416.0,207.9,1106.0,146.3,1022.5,1452.0
2020-02-27,329.1,284.9,1200.0,335.4,212.6,690.0,1646.2,660.8,6380.0,295.5,2467.0,781.0,66.5,2183.0,1842.27,786.0,524.0,479.87,7142.0,631.8,154.44,768.8,3162.5,414.15,5026.43,505.6,139.5,1982.0,1675.5,76.5,2606.0,1773.5,2695.0,4620.0,2820.0,5594.0,1921.0,2669.0,199.14,1641.79,2022.0,1559.0,1258.0,206.1,529.3,1646.2,4422.5,515.4,5368.0,194.05,186.05,863.6,269.1,50.35,7810.0,210.8,505.5,1781.45,1039.8,6216.0,2883.0,716.1,1287.68,5841.0,1946.0,504.0,3679.0,206.11,723.2,505.92,584.5,857.0,1828.0,1592.0,8705.0,1570.5,1045.0,570.6,205.3,292.6,4321.0,976.4,3500.07,761.6,7060.0,1910.0,1057.0,1731.6,,685.2,159.05,635.0,1672.0,705.0,1110.0,812.8,2696.96,532.0,2561.0,1489.8,2334.0,197.51,1044.5,141.06,993.0,1368.0
2020-02-28,333.1,276.4,1133.0,314.2,207.2,682.4,1554.8,636.0,6300.0,296.5,2389.0,749.0,64.85,2112.0,1783.54,752.0,519.6,461.58,6794.0,608.4,148.74,757.2,3062.5,396.15,4926.94,501.0,141.62,1870.0,1649.0,72.12,2474.0,1710.5,2639.0,4554.0,2765.5,5532.0,1880.0,2591.0,193.26,1573.69,1929.0,1536.5,1226.0,205.0,523.9,1554.8,4302.0,472.0,5270.0,195.75,189.35,834.6,260.0,50.2,7576.0,198.8,488.25,1718.2,982.8,6082.0,2839.0,691.2,1229.0,5721.0,1867.5,484.0,3608.0,212.76,681.8,485.18,561.0,821.2,1739.0,1533.0,8395.0,1529.0,1015.5,562.6,202.2,289.43,4170.0,944.2,3345.42,752.8,6740.0,1788.0,1056.0,1661.4,,603.8,158.4,619.0,1592.0,672.0,1100.5,789.6,2359.03,534.5,2465.0,1418.4,2255.0,192.39,1008.0,134.36,1006.0,1340.0
2020-03-02,330.0,275.7,1108.0,316.3,209.8,659.6,1563.0,642.2,6270.0,300.5,2407.0,765.0,63.65,2140.0,1836.1,775.6,519.2,451.58,7010.0,610.8,143.3,750.4,3000.5,411.25,4910.35,494.0,139.76,1910.0,1661.0,73.3,2515.0,1700.5,2718.0,4690.0,2811.5,5554.0,1887.0,2707.0,193.32,1641.99,1997.5,1555.0,1276.0,194.45,520.1,1563.0,4287.0,433.1,5324.0,204.3,185.0,821.0,254.5,49.54,7888.0,193.6,474.26,1729.2,1006.2,6026.0,2841.0,697.7,1231.91,5748.0,1885.5,513.2,3720.0,211.32,694.2,482.12,583.0,832.6,1770.0,1532.5,8545.0,1545.5,1001.5,550.4,202.9,289.05,4320.0,959.0,3229.44,740.4,6780.0,1899.0,1049.0,1716.0,,620.0,157.35,619.2,1604.0,690.0,1062.5,792.6,2345.94,528.5,2547.0,1449.0,2262.0,185.77,987.8,133.56,1002.0,1372.0
2020-03-03,336.7,279.9,1155.0,322.5,216.2,655.2,1583.8,642.2,6615.0,300.0,2408.0,777.0,62.95,2186.0,1894.23,778.6,516.6,455.26,7172.0,612.0,139.56,757.8,3099.5,414.95,4990.15,504.2,139.66,1960.5,1702.5,73.76,2582.0,1713.0,2757.0,4744.0,2820.5,5644.0,1949.0,2812.0,191.26,1619.83,2054.0,1519.5,1206.0,192.55,509.8,1583.8,4274.0,464.4,5412.0,206.3,188.6,830.8,265.1,48.67,7864.0,202.6,481.49,1772.1,1013.4,6162.0,2942.0,708.0,1225.12,5786.0,1920.5,525.4,3821.5,218.19,701.8,497.42,605.5,861.6,1794.0,1557.5,8755.0,1578.0,1016.0,538.2,207.8,297.79,4382.5,979.6,3237.17,755.0,7002.0,1879.5,1059.0,1723.6,,649.8,163.8,625.6,1667.0,695.0,1070.0,802.6,2345.94,530.0,2594.0,1462.8,2279.0,183.56,1020.0,133.52,1040.0,1384.0
2020-03-04,330.4,285.7,1160.0,325.9,220.0,651.0,1643.8,647.2,6655.0,300.0,2325.0,777.0,64.0,2181.0,1908.56,790.6,521.4,460.66,7455.0,613.8,138.54,773.6,3204.0,422.65,5063.74,503.8,139.98,1986.0,1704.0,76.34,2604.0,1657.0,2786.0,4706.0,2832.5,5750.0,1930.0,2831.0,193.42,1676.04,2070.0,1482.0,1235.0,186.95,512.2,1643.8,4231.5,447.0,5442.0,212.7,188.85,833.0,261.5,48.37,7994.0,202.6,478.22,1825.45,1050.0,6208.0,2972.0,713.0,1249.85,6100.0,1933.0,522.4,3929.0,208.44,704.0,490.28,610.0,879.0,1778.5,1567.5,8825.0,1643.0,995.4,558.4,211.1,305.01,4459.5,1013.5,3110.02,761.6,7130.0,1928.5,1063.0,1737.4,,659.0,161.85,613.6,1721.0,700.0,1057.5,807.6,2345.94,539.0,2656.0,1499.6,2268.0,181.19,1026.5,139.58,1031.5,1392.0
2020-03-05,324.9,277.0,1152.0,328.1,219.4,618.6,1658.0,639.2,6285.0,297.5,2277.0,768.0,62.25,2238.0,1832.91,777.4,512.0,462.63,7502.0,609.2,134.68,753.8,3244.5,416.7,4955.95,486.1,134.2,1964.0,1664.5,75.5,2555.0,1620.5,2755.0,4634.0,2806.5,5684.0,1915.0,2800.0,186.74,1651.87,2085.0,1439.0,1247.0,184.2,506.4,1658.0,4085.5,423.1,5434.0,212.2,178.9,813.4,248.0,47.0,8030.0,197.9,456.89,1790.8,1054.2,5918.0,2766.0,694.5,1224.15,6140.0,1905.5,518.8,3648.5,201.51,690.8,471.92,599.5,877.8,1771.0,1530.0,8655.0,1635.0,978.2,532.2,205.9,305.14,4482.0,1011.5,3117.76,727.4,7084.0,1947.0,1055.0,1690.0,,666.0,157.55,614.2,1681.0,695.0,1010.5,790.0,2345.94,526.5,2666.0,1406.0,2218.0,173.17,973.6,140.86,993.6,1382.0
2020-03-06,316.8,264.2,1113.0,322.1,215.0,596.0,1641.8,618.0,6185.0,286.5,2200.0,740.0,60.0,2180.0,1673.45,741.8,495.4,451.32,7242.0,597.2,130.94,732.0,3106.0,395.2,4798.42,471.4,130.9,1918.0,1598.0,69.76,2472.0,1582.5,2649.0,4470.0,2740.0,5460.0,1849.0,2618.0,174.06,1605.33,2044.0,1437.5,1196.0,185.55,493.8,1641.8,4031.5,431.6,5182.0,211.1,169.0,796.8,241.4,45.68,7592.0,189.5,426.46,1750.1,1015.2,5626.0,2692.0,683.9,1157.7,6005.0,1847.0,500.0,3505.0,201.85,668.0,451.69,569.0,849.6,1678.0,1410.0,8630.0,1575.0,967.0,519.6,199.55,304.76,4352.0,973.0,3007.79,724.4,6694.0,1858.5,1035.0,1599.2,,663.2,154.15,600.4,1553.0,656.0,1000.0,768.0,2383.01,499.0,2567.0,1332.2,2152.0,169.35,930.4,136.62,958.8,1308.0
